,Unnamed: 0,sentence,tag,label
897,344,The government passed a law to increase access to public libraries in an effort to promote literacy.,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0,intend
718,165,The government passed a law to increase access to affordable housing and reduce homelessness.,0 0 intention 0 0 0 0 0 0 0 0 0 effect 0 0,intend
1066,35,The government has also announced that it will be investing in new public transportation systems to reduce traffic congestion.,0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 0 effect 0 0 0,enable
790,237,The government passed a law to increase access to affordable housing in an effort to reduce homelessness.,0 0 0 0 0 0 intention 0 0 0 0 0 0 0 0 effect 0 0,intend
128,128,"The government has introduced a new law to prevent companies from discriminating against employees on the basis of gender, race, or religion.",0 0 0 0 0 0 prevention 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
1698,119,"In wooing British lawmakers, GM has pointed out that its willingness to settle for a minority stake would keep Jaguar British-owned and independent. ",0 0 0 0 0 0 0 0 0 0 0 0 0 intention 0 0 0 0 0 effect 0 0 0 0 0 0 0,intend
1574,88,",The government passed a law to increase funding for mental health services, in an effort to improve mental health outcomes.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,intend
70,70,The United Nations has passed a resolution to prevent the use of child soldiers.,0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0 0,prevent
53,53,The government has implemented a series of regulations to prevent companies from exploiting workers.,0 0 0 0 0 0 0 prevention 0 0 0 0 effect 0 0,prevent
164,164,The government has implemented a series of measures to prevent the spread of corruption.,0 0 0 0 0 0 0 prevention 0 0 0 0 0 effect 0,prevent
1882,303,"Once triggered, the rights allow holders to buy additional shares at 50% of the then current market price or, at the board's discretion, to receive securities or assets.    ",0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,cause
579,26,The president proposed a new tax plan that would reduce taxes for the middle class and increase taxes for the wealthy.,0 0 0 0 0 intention 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0,intend
980,427,"The government passed a law to increase access to renewable energy sources, in an effort to reduce carbon emissions.",0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,intend
346,346,"The government has taken steps to prevent the use of bribery and corruption, including introducing new laws to regulate the awarding of government contracts.",0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 prevention 0 0 0 0 0 0 0 0 0,prevent
555,2,"The government passed a law to increase funding for research and development, in an effort to promote technological innovation.",0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,intend
1339,308,The government has announced a new policy that will provide free healthcare to all citizens.,0 0 0 0 0 0 condition 0 0 effect 0 0 0 0 0 0,enable
374,374,The United Nations has imposed an arms embargo on Libya in an effort to prevent further violence in the region.,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 effect 0 0 0 0,prevent
1934,355,"The company said it expects to use the proceeds to repay certain bank debt and for general corporate purposes, including establishing new operating centers and possible acquisitions. ",0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 intention 0,intend
1728,149,"In addition, GM's North American vehicle production fell 8.4% from a year ago, which hurt Delco Electronic's earnings, a company spokesman said. ",0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0,cause
810,257,"The government is introducing a new law to protect the rights of the disabled, in an effort to ensure access to quality healthcare and social services.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0,intend
1238,207,"The Canadian government has announced a new program to help low-income families with the cost of home insurance, providing up to $200 per year in assistance for those who qualify.",0 0 0 0 0 0 0 condition 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,enable
1398,367,The government has introduced a new bill to increase the minimum wage and provide more job security for workers.,0 0 0 0 0 0 condition 0 effect 0 0 0 0 0 0 0 0 0 0 0,enable
1981,402,"Profit also suffered because of ""intense"" discounting in its long-haul trucking business, the company said.    ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0
1832,253,"""As we regain our leadership level where we have been, and as we continue to put new products into the marketplace and need additional capacity, we will look at resuming our involvement with our plan,"" he said.    ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0
1764,185,"Known for its slogan "" do n't do evil, "" Google's new position drew praise from supporters of free speech, who in the past have been critical of the search engine for agreeing to government censorship as a condition for opening its doors in China.""",cause 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,cause
612,59,The government passed a law to increase access to clean water and reduce water pollution.,0 0 intention 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
204,204,The United Nations has imposed an arms embargo on South Sudan in an effort to prevent further violence and human rights abuses.,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,prevent
2023,444,BLOCKBUSTER ENTERTAINMENT CORP. said it raised $92 million from an offering of liquid yield option notes.,0 0 0 0 0 0 effect 0 0 0 0 0 cause 0 0 0 0 0 0,cause
1031,0,Each right entitles the shareholder to buy $100 face amount of 5% bonds due 1993 and warrants to buy 5 common shares at 30 cents a share.,0 condition 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,enable
339,339,The United Nations has imposed an arms embargo on South Sudan in an effort to prevent further violence and conflict.,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
1473,442,"The United States has elected a new president, ushering in a new era of politics.",0 0 0 0 condition 0 0 0 0 0 0 0 effect 0 0 0 0,enable
1994,415,"The Dearborn, Mich., energy company stopped paying a dividend in the third quarter of 1984 because of troubles at its Midland nuclear plant. ",0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0,cause
1892,313,Mr. Lortie joined Provigo in 1985 and spearheaded the company's drive to grow outside its traditional food business.,0 0 cause 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,cause
1866,287,"Therefore, ""Uruguay is not going to request an extradition in order not to obstruct the extradition process to Italy, which is where he has committed the most serious crimes,"" he said.",0 0 0 0 0 prevention prevention prevention prevention 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
1546,60,",The government has passed a law to increase the minimum wage in an effort to reduce poverty.",0 0 0 0 intention 0 0 0 effect 0 0 0 0 0 0 0 0 0 0,intend
29,29,The United Nations has imposed an arms embargo on South Sudan in an effort to prevent the country from engaging in further conflict.,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
1890,311,"But as the craze died, Coleco failed  to come up with another winner and filed for bankruptcy-law protection in July 1988.    ",0 0 0 0 cause 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0,cause
830,277,The government passed a law to protect the rights of refugees and ensure their access to services.,0 0 intention 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0,intend
2112,14,"A committee of outside directors for the Garden City, N.Y., unit is evaluating the proposal; the parent asked it to respond by Oct. 31. ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0
289,289,The United Nations has imposed an arms embargo on Sudan in an effort to prevent the country from supporting terrorist activities.,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0,prevent
406,406,The government has implemented a series of laws to prevent the exploitation of workers.,0 0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0,prevent
1637,58,"""We're excited to partner with Amazon and bring our trusted platform to new markets, empowering customers to succeed from anywhere by leveraging Hyperforce and all the advantages of public cloud computing.""",0 0 0 0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,enable
1949,370,"Du Pont, unlike companies hurt badly by sharp price declines for basic chemicals and plastics, is benefiting from its broad range of businesses. ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 cause 0,cause
402,402,The government has implemented a series of measures to prevent the illegal exploitation of natural resources.,0 0 0 0 0 0 0 prevention 0 0 0 0 effect 0 0 0 0,prevent
460,460,The United Nations has imposed an arms embargo on Afghanistan in an effort to prevent the country from engaging in further acts of violence.,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
1395,364,The United Nations has passed a resolution to promote the rights of persons with disabilities.,0 0 0 0 0 0 condition 0 effect 0 0 0 0 0 0 0,enable
1156,125,"The United Nations Security Council yesterday unanimously approved a resolution that would impose a total trade embargo on Iran, allowing the U.S. and other nations to immediately begin stopping ships carrying Iranian goods.",0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,enable
758,205,"The government is introducing a new law to protect the rights of the LGBTQ+ community, in an effort to ensure their safety and acceptance.",0 0 0 0 0 0 0 0 intention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,intend
858,305,"The government has introduced a new law to protect the rights of the elderly, in an effort to ensure access to quality healthcare and social services.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0,intend
1773,194,"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered.",0 0 0 0 0 cause 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,cause
1118,87,The Canadian government has created a new fund to help small businesses access capital and resources.,0 0 0 0 condition 0 0 0 0 0 0 0 effect 0 0 0 0,enable
2121,23,"Pentagon officials say the goal is to put 40,000 troops in the region by the end of the month. ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0
1141,110,"The European Union has adopted a new policy to combat climate change, which includes a commitment to reduce greenhouse gas emissions by 40% by",0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,enable
1657,78,"The company noted that its Fox-Meyer Drug Co., Ben Franklin Stores Inc. and Permian Corp. operations showed improvements as a result of restructuring moves. ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 cause 0,cause
1437,406,The World Bank has approved a new loan program to help finance projects that will improve the quality of life in rural areas.,0 0 0 0 0 0 0 condition 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0,enable
1383,352,The International Monetary Fund has approved a loan package to help stabilize the economies of several developing countries.,0 0 0 0 0 0 0 condition 0 0 0 effect 0 0 0 0 0 0 0,enable
1577,91,",The government passed a law to increase the number of environmental protection regulations, in an effort to reduce pollution.",0 0 0 intention 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0,intend
414,414,"The government has taken steps to prevent the spread of misinformation, including introducing new laws to regulate the media.",0 0 0 prevention prevention 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0,prevent
376,376,"The government has implemented a series of measures to prevent the destruction of the environment, including increased public awareness and increased enforcement of environmental regulations.",0 0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
1729,150,"DR Congo President Felix Tshisekedi on May 6 proclaimed a 30-day ""state of siege"" -- effectively martial law -- in North Kivu and neighbouring Ituri province in a bid to curb bloodshed by the ADF.",0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,prevent
1641,62,"He argued setting an explicit deadline forSaddam Hussein to break would, when it was broken, give theU.S. military a clear green light to proceed.   ",0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0,cause
1419,388,The World Bank has passed a resolution to increase the amount of funding it provides to developing countries.,0 0 0 0 0 0 condition 0 effect 0 0 0 0 0 0 0 0 0 0,enable
1743,164,"Capital expenditure in 1990 will rise slightly, Mr. Marous said, from an estimated $470 million this year. ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0
1326,295,The United Nations has passed a resolution calling for an end to the use of chemical weapons in all forms.,0 0 0 0 0 0 condition 0 0 0 effect 0 0 0 0 0 0 0 0 0 0,enable
1692,113,"In developing the concept for Future, Aptar's experts turned to recognized eco-design principles, which call for plastic dispensing products to be made from a mono-material to facilitate the recycling process.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 condition condition condition 0 0 0 effect 0 0,enable
1378,347,The United Nations has passed a resolution calling for an end to the use of child soldiers in armed conflicts.,0 0 0 0 0 0 condition 0 0 0 effect 0 0 0 0 0 0 0 0 0 0,enable
1481,450,The United Nations has adopted a resolution to promote the protection of human rights and combat discrimination.,0 0 0 0 0 0 condition 0 effect 0 0 0 0 0 0 0 0 0,enable
1336,305,The Canadian government has announced a new program to provide free childcare for low-income families.,0 0 0 0 0 0 0 condition 0 effect 0 0 0 0 0 0 0 0,enable
1014,461,The government passed a law to protect the rights of immigrants.,0 0 intention 0 0 0 effect 0 0 0 0 0,intend
735,182,"The government has implemented a new policy to provide tax credits to businesses that hire new employees, in an effort to reduce unemployment.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
1648,69,"Britain's largely foreign-owned automotive sector was a big winner from the final Brexit agreement, which allows for tariff-free trade with the continent.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 effect 0 0 0 0,enable
1612,33,"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ",0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 cause 0 0 0,cause
667,114,The government implemented a new policy to promote renewable energy sources.,0 0 intention 0 0 0 0 effect 0 0 0 0,intend
521,521,The United Nations has imposed an arms embargo on Yemen in an effort to prevent the country from becoming a safe haven for terrorists.,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,prevent
2074,7,"The report outlines Moody's ESG Solutions' framework for assessing biodiversity risk, which can provide a foundation for understanding the biodiversity risks of companies in investment and lending portfolios.",0 0 0 0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,enable
1656,77,"Then yesterday, he tried to entice Arab leaders with his proposal for a diplomatic solution linking his occupation of Kuwait with Israel's occupation of the West Bank. ",0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0,intend
2040,461,"National Police chief Jorge Vargas identified the victim as Camilo Andres Arango, and said he was shot when a peaceful march was interrupted by men who hurled rocks at police and set fire to the Tulua Palace of Justice.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0,prevent
1971,392,"Over 700 financial institutions use Temenos SaaS such as Al Ain Finance, Alpian, Flowbank, Flowe, Itau, Orange Bank and they will now benefit from all the new rich features of The Temenos Banking Cloud.",0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,enable
258,258,The government has implemented a series of laws to prevent the illegal trade of wildlife.,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 effect 0,prevent
1785,206,"Fluor Daniel already has reassigned most of its work crew, the sources said.    ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0
966,413,The government passed a law to increase the availability of financial assistance to small businesses in an effort to promote economic growth.,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
433,433,The United Nations has imposed an arms embargo on Sudan in an effort to prevent the country from engaging in further acts of violence.,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
125,125,"The government has implemented a series of measures to prevent the spread of misinformation, including increased monitoring of social media platforms.",0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 prevention 0 0 0 0 0 0,prevent
57,57,"The government has implemented a series of measures to prevent the spread of corruption, including increased monitoring of public officials and increased penalties for those who engage in corrupt activities.",0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
1738,159,"But the administration is n't putting any upper limit on how high the force could go after that, calculating that it would be a mistake to underestimate and an advantage to keep Saddam Hussein guessing. ",0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,cause
1823,244,"""As we regain our leadership level where we have been, and as we continue to put new products into the marketplace and need additional capacity, we will look at resuming our involvement with our plan,"" he said.    ",0 0 0 cause 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0,cause
350,350,The United Nations has imposed an arms embargo on Sudan in an effort to prevent the country from destabilizing the region.,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,prevent
356,356,The United Nations has imposed a trade embargo on North Korea in an effort to prevent the country from developing nuclear weapons.,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,prevent
2115,17,"""We consider that his bid is an acceptable bid,"" said Sandra Kolber, spokeswoman for the independent directors' committee appointed last May to solicit and review bids for the company in the wake of a dispute between Mr. Drabinsky and Cineplex's major shareholder, MCA Inc.    MCA and Cineplex's other major shareholder, Montreal-based financier Charles Bronfman and his associates, have agreed to tender their holdings to an offer by Mr. Drabinsky unless a higher offer is made by another bidder. ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0
756,203,"The government is introducing a new law to protect the rights of the disabled, in an effort to ensure their access to services and opportunities.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,intend
1422,391,The United Nations has adopted a new agreement that will require all countries to promote sustainable development and combat climate change.,0 0 0 0 0 0 0 condition 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,enable
905,352,"The government is introducing a new law to protect the rights of immigrants, in an effort to promote diversity and inclusion.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,intend
924,371,"The president has proposed a new law to increase the minimum wage, in an effort to reduce poverty and improve living standards.",0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,intend
942,389,"The government passed a law to increase access to technology, in an effort to reduce the digital divide and promote economic growth.",0 0 intention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0,intend
449,449,The United Nations has imposed a travel ban on Iraq to prevent Saddam Hussein from traveling abroad and acquiring weapons of mass destruction.,0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,prevent
1756,177,The president also has offered  to help offsetJordan's costs because 40 percent of its exports go to Iraq and 90percent of its oil comes from there.,0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0 0 0 0 0 0,cause
532,532,The United States and its allies have imposed a naval blockade of North Korea in an effort to prevent the country from importing weapons and supplies.,0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,prevent
728,175,The government passed a law to provide tax incentives to businesses that invest in research and development in order to promote innovation and economic growth.,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,intend
1825,246,"These clients also invest 51% of their IT budget on growth and innovation versus maintenance, which is double the industry average, proving the banks' IT investment is adding tangible value to their business.",0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,enable
139,139,"The government has implemented a series of measures to prevent the exploitation of vulnerable populations, including increased oversight of labor practices and increased public awareness.",0 0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
589,36,The government passed a new law to protect the rights of children in an effort to promote their welfare.,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,intend
2029,450,The more pressing issue for Prewitt is making sure everyone is counted because he said those who are n't counted will be treated unfairly in the political process and in the allocation of economic benefits.,0 0 0 0 0 0 0 0 0 0 0 cause 0 0 effect 0 0 0 0 cause 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,cause
159,159,The United Nations has imposed an arms embargo on Iran in an effort to prevent the country from acquiring weapons of mass destruction.,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 0 effect effect effect effect 0,prevent
27,27,The United Nations has imposed economic sanctions on a country in an effort to prevent it from supporting human rights abuses.,0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,prevent
46,46,The government has implemented a series of laws to protect the public from the spread of organized crime.,0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 effect effect effect effect 0,prevent
2153,55,"But unless the military situation changes drastically, military officials say, the most likely plan will be for the Kennedy to eventually replace the carrier Dwight D. Eisenhower, which has been on patrol since March and was scheduled to return to port before hostilities erupted in Kuwait.   ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0
1594,15,"By acquiring the shares, Lawrence Group increased its stake in Lawrence Insurance to 93.2% from 91.2%. ",0 cause 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0,cause
3,3,The government has implemented a series of laws to protect the public from fraudulent financial practices.,0 0 0 0 0 0 0 prevention 0 0 0 0 0 effect effect effect 0,prevent
1534,48,",The government has implemented a series of reforms to promote gender equality and reduce gender-based discrimination.",0 0 0 0 0 0 0 0 0 0 intention 0 0 0 effect 0 0 0 0 0,intend
1581,2,"Since 1983, Westinghouse has shed 70 businesses that it did n't expect to produce 10% operating margins while acquiring 55 businesses.    ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0
1389,358,The United Nations has adopted a resolution calling for the establishment of a global climate change agreement to reduce greenhouse gas emissions and limit the effects of global warming.,0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0,enable
150,150,The government has implemented a series of measures to prevent the spread of hate speech and discrimination.,0 0 0 0 0 0 0 prevention 0 0 0 0 0 effect 0 0 0 0,prevent
410,410,The United States has imposed sanctions on Venezuela in an effort to prevent the country from engaging in human rights abuses.,0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0,prevent
539,539,The United Nations has imposed a trade embargo on Cuba in an effort to prevent the country from supporting terrorism.,0 0 0 0 0 0 prevention prevention 0 0 0 0 0 0 0 0 0 0 effect effect 0,prevent
375,375,"The government has implemented a series of measures to prevent the exploitation of workers, including increased labor inspections and increased enforcement of labor laws.",0 0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent
2013,434,"Now , following asset sales that shrank revenue by more than one-third this year alone, Control Data is flush with cash. ",0 0 0 0 0 0 cause 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,cause
1744,165,He also rejected reports that his departure stemmed from disappointment the general manager's post had n't  also led to a board directorship at the London-based news organization.,0 0 0 0 0 0 0 0 0 0 0 0 0 0 O 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0,0
1719,140,"Mr. Antar, the SEC said, made more than $60 million from the sale of his shares between 1985 and 1987.    ",0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 cause 0 0 0 0 0 0 0 0 0,cause
956,403,The government passed a law to protect the rights of victims of age discrimination and ensure their access to services.,0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,intend
1109,78,"The African Union has agreed to a new treaty that will promote economic cooperation between member countries., ",0 0 0 0 0 0 0 0 condition 0 0 0 0 effect 0 0 0 0 0,enable
1385,354,The government has also announced plans to invest in social welfare programs to reduce poverty and inequality.,0 0 0 0 0 0 0 condition 0 0 0 0 0 effect effect 0 0 0,enable
68,68,The United Nations has passed a resolution to prevent the sale of small arms and light weapons.,0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0 0 0 0 0,prevent
1646,67,Intel said it had corrected the problems and would start producing bugless chips next week.,0 0 0 0 cause 0 0 0 0 0 effect 0 0 0 0 0,cause
1670,91,President Bush's political argument for going to a groundwar has been strengthened by the growing stream of reports ofwanton Iraqi destruction inside Kuwait.,0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 cause 0 0 0,cause
2119,21,"A unit of DPC Acquisition Partners launched a $10-a-share tender offer for the shares outstanding of Dataproducts Corp., and said it would seek to liquidate the computer-printer maker ""as soon as possible,"" even if a merger is n't consummated.    ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0
2109,11,"Anheuser said it continues to hold to its earlier-announced goal of a 50% U.S. market share by the mid-1990s.    Beneath the tepid news-release jargon lies a powerful threat from the brewing giant, which last year accounted for about 41% of all U.S. beer sales and is expected to see that grow to 42.5% in the current year. ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0
2164,66,Tony Lama Co. said that Equus Investment II Limited Partnership  has proposed changing the offer for the company to $13.65 in cash and stock from an all-cash transaction.,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0
947,394,The government passed a law to protect the rights of consumers and ensure their access to accurate information about products and services.,0 0 intention 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0,intend
318,318,The government has implemented a series of laws to prevent the exploitation of women.,0 0 0 0 0 0 0 prevention 0 0 0 effect 0 0 0,prevent
1838,259,The SEC has alleged that Mr. Antar aimed to pump up the company's stock price through false financial statements in order to sell his stake and reap huge profits.,0 0 0 0 0 0 0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,intend
183,183,The United States has imposed sanctions on Venezuela in an effort to prevent the country from supporting terrorist activities.,0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,prevent
